scenario,seed,steps,burn_in,lookahead,final_age,mean_postburn_age,replacement_rate,switch_rate,final_abs_habitus
Naive,20260739,5000,1000,20,319.8125,213.13540104166665,0.004885416666666666,0.07863784879070206,0.5760062215689297
Naive,20260740,5000,1000,20,250.39583333333334,217.4988645833333,0.005375,0.07670873917748917,0.7136861158690088
Naive,20260741,5000,1000,20,367.5833333333333,237.128171875,0.004885416666666666,0.0859990118577075,0.7243087520555281
Naive,20260742,5000,1000,20,554.1458333333334,286.679609375,0.004640625,0.0728181396652864,0.9159274412780194
Naive,20260743,5000,1000,20,252.60416666666666,259.5956302083333,0.004776041666666666,0.07317793222744563,0.7671367786495825
Naive,20260744,5000,1000,20,316.7083333333333,273.1965677083333,0.004385416666666667,0.0735387463532844,0.6166404540059706
Naive,20260745,5000,1000,20,262.25,214.3959010416667,0.005348958333333333,0.08038645459907466,0.5773804379462573
Naive,20260746,5000,1000,20,273.2916666666667,246.21086979166668,0.00459375,0.07222941370223979,0.6693632956356663
Naive,20260747,5000,1000,20,1311.25,449.06081249999994,0.0028333333333333335,0.063418428265575,0.5772352051434606
Naive,20260748,5000,1000,20,609.3333333333334,293.74588020833323,0.004270833333333333,0.07901021080368906,0.6260592935380574
Naive,20260749,5000,1000,20,183.10416666666666,319.1018333333334,0.004177083333333333,0.07788709376372421,0.6150889145280329
Naive,20260750,5000,1000,20,287.4166666666667,384.654734375,0.003546875,0.07616858432931803,0.6108541857277069
Naive,20260751,5000,1000,20,273.8958333333333,335.74289583333336,0.004052083333333334,0.0712357207556936,0.6147929562936938
Naive,20260752,5000,1000,20,313.1041666666667,245.54018750000003,0.004682291666666667,0.07279096202710332,0.5945164874056247
Naive,20260753,5000,1000,20,327.4791666666667,305.09275520833324,0.004197916666666667,0.07476366930171278,0.6101809932874707
Naive,20260754,5000,1000,20,274.1875,309.059921875,0.00409375,0.06860271386222473,0.6865701584627302
Naive,20260755,5000,1000,20,319.5625,247.36251562499993,0.004901041666666666,0.07082910490777339,0.7826120242506499
Naive,20260756,5000,1000,20,259.9583333333333,234.1778177083334,0.00478125,0.07197730213626954,0.711511622346166
Naive,20260757,5000,1000,20,229.20833333333334,291.28538541666677,0.0047083333333333335,0.07727151856295879,0.5740630291077599
Naive,20260758,5000,1000,20,360.25,252.0790052083334,0.004494791666666667,0.07327028436539305,0.5601335198619198
Naive,20260759,5000,1000,20,243.8125,211.08839062500002,0.005395833333333333,0.07623576158632402,0.47429926467307587
