seed,treatment,policy,fixed_risk_aversion,steps,burn_in,population,ring_x,ring_y,lookahead,error_rate,mixture_share,capability_mutation_rate,trait_mutation_scale,mean_convention_strength,coordinated_fraction,time_to_convention,completed_cells_per_car_step,mean_proposed_speed,mean_realized_speed,dangerous_proposal_acceptance,replacement_pressure,population_risk_mean,population_risk_std,survivor_risk_mean,selected_parent_risk_mean,final_risk_mean,final_risk_std,final_risk_q10,final_risk_median,final_risk_q90
20260910,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9592833333333335,0.9995,63,2.906347916666667,2.9673666666666665,2.980175557402229,0.49725453149908483,0.024772916666666665,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260910,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9603708333333335,1.0,67,2.877658333333333,2.9231770833333335,2.9449755664907,0.0,0.022858333333333335,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260910,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9594750000000003,0.99975,43,2.9062729166666665,2.96725,2.9805125159173067,0.49534704522553497,0.024908333333333334,0.496371180168111,0.2897266955035756,0.4963309391270356,NaN,0.45165871287711334,0.29837477648832794,0.06053934552331789,0.4437819681177312,0.8548066661916082
20260910,uniform_evolutionary,uniform evolutionary risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.968354166666667,1.0,44,2.920725,2.9725729166666666,2.983445730981956,0.5028256471080723,0.021022916666666665,0.4746031887807572,0.2887730291815113,0.4745022038151161,0.4785403850783608,0.1507777528882366,0.20387745065897547,0.0,0.08679203888017875,0.38137885938286176
20260911,fixed_0.0,fixed risk aversion,0.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9668250000000003,1.0,19,2.9365875,3.0,3.0,1.0,0.0211375,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
20260911,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9576416666666667,0.99925,44,2.901679166666667,2.9657583333333335,2.979174955188508,0.5012038747970211,0.0260125,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260911,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9600833333333335,1.0,112,2.8750479166666665,2.9218604166666666,2.944331722512028,0.0,0.02353125,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260911,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9587083333333335,0.99925,30,2.9046770833333335,2.9664208333333333,2.9795316076172,0.4987405541561713,0.02512291666666667,0.4987750668467065,0.28972032262857467,0.4988065759813498,NaN,0.4906018491735497,0.2991625037511127,0.08415863375201191,0.5315566197125356,0.8981514501024874
20260911,uniform_evolutionary,uniform evolutionary risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9707708333333336,1.0,92,2.933125,2.987725,2.9935638059233396,0.7568482610033856,0.020189583333333334,0.2318953467058005,0.2124324209328526,0.23167201689333922,0.23976826235715556,0.1181415665065008,0.12039094254769768,0.0,0.0742742409919198,0.2981026542791068
20260912,fixed_0.0,fixed risk aversion,0.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9672958333333337,1.0,7,2.93741875,3.0,3.0,1.0,0.020860416666666666,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
20260912,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9606000000000002,1.0,188,2.9062875,2.9672645833333333,2.980342809775398,0.49610297590930563,0.024847916666666667,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260912,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9588125000000002,0.99975,139,2.871835416666667,2.920047916666667,2.9431076741763027,0.0,0.024216666666666668,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260912,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9590041666666669,0.9995,6,2.9030770833333333,2.9662166666666665,2.9795713708392757,0.4944207983434948,0.025672916666666667,0.49872593797958054,0.2879992047009529,0.4988071948930428,NaN,0.5170976576454211,0.2782423697505621,0.09960408827924389,0.5384848252698795,0.9287498789717729
20260912,uniform_evolutionary,uniform evolutionary risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9686000000000002,1.0,117,2.927208333333333,2.9827729166666668,2.990481947199496,0.6802824004034291,0.021158333333333335,0.30887588063744764,0.2121097604143414,0.30865726317075715,0.3171371945329875,0.2974000375742216,0.1800745500726889,0.015327311716474393,0.3326346939026432,0.5046399844316212
20260913,fixed_0.0,fixed risk aversion,0.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9666916666666668,0.99875,64,2.93796875,3.0,3.0,1.0,0.020677083333333332,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
20260913,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9587250000000002,0.99975,46,2.90403125,2.966910416666667,2.9798880245242967,0.5076281355351123,0.02545625,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260913,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9603375000000001,1.0,18,2.87458125,2.92125625,2.9438538099657565,0.0,0.02353125,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260913,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9579625000000002,0.99875,75,2.9009604166666665,2.965410416666667,2.979067851908903,0.49531399068410126,0.02621875,0.4968922447037969,0.2870359767630905,0.4967752023622771,NaN,0.44478095096739234,0.2883475623793723,0.08480950726376009,0.4219985821949283,0.8623670794774673
20260913,uniform_evolutionary,uniform evolutionary risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9641750000000002,0.99975,25,2.896075,2.9450458333333334,2.963197598944422,0.1973917869034406,0.022652083333333333,0.7997609156001692,0.18453976473940584,0.7998577711907663,0.7991068762171815,0.8379542919737931,0.14361057571693783,0.6497713713781949,0.8661424458111182,1.0
20260914,fixed_0.0,fixed risk aversion,0.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9673833333333336,1.0,11,2.93858125,3.0,3.0,1.0,0.020472916666666667,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
20260914,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9593125000000002,0.9995,90,2.9040791666666665,2.9668395833333334,2.979969045012998,0.505611543747137,0.025466666666666665,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260914,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9598250000000003,1.0,37,2.8728354166666668,2.9206041666666667,2.9436359949194695,0.0,0.024052083333333335,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260914,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9570333333333335,0.9975,79,2.900170833333333,2.964729166666667,2.9786903521366352,0.4947744774477448,0.026360416666666667,0.49732082487955864,0.2886925993996753,0.49716808087550135,NaN,0.5281412643734452,0.28954124685019145,0.11576031744776727,0.5444736384929229,0.8893495190564698
20260914,uniform_evolutionary,uniform evolutionary risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9667708333333335,0.9995,39,2.8990916666666666,2.94500625,2.96317653246568,0.16702219659844336,0.021627083333333335,0.8325327484706451,0.14102850132280384,0.8325762012505604,0.834385340656589,0.9077938607981609,0.07930817973045816,0.7966199730575987,0.9236650517791363,1.0
20260915,fixed_0.0,fixed risk aversion,0.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9670333333333335,1.0,14,2.93686875,3.0,3.0,1.0,0.02104375,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
20260915,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9596833333333334,0.99975,56,2.9056333333333333,2.9673,2.9800476054135134,0.5016965016965017,0.024970833333333334,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260915,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9608125000000002,0.99975,85,2.875877083333333,2.92235,2.9446719825250756,0.0,0.0233625,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260915,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9568041666666668,0.99975,39,2.900358333333333,2.9646729166666668,2.978417697146036,0.4927888600320495,0.026208333333333333,0.50181380413534,0.2887790339903096,0.5018293760255678,NaN,0.49886308273301566,0.30973309380593317,0.09207464106966651,0.46292563247900487,0.9249987125124387
20260915,uniform_evolutionary,uniform evolutionary risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9669541666666669,1.0,40,2.8985645833333336,2.94478125,2.9629280218411194,0.16012032162896975,0.021722916666666668,0.8363293568837187,0.21777814846822224,0.8364741208869763,0.8346130842118096,0.8291450690122273,0.14611051701313996,0.6214038398929499,0.8491436529465284,0.9993440968094048
20260916,fixed_0.0,fixed risk aversion,0.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9663083333333337,1.0,76,2.93708125,3.0,3.0,1.0,0.020972916666666667,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
20260916,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9587000000000002,0.99975,109,2.90299375,2.9659020833333334,2.9794157643557244,0.4931561537584122,0.02565,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260916,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9599333333333335,0.99975,142,2.87261875,2.92040625,2.9432506334301713,0.0,0.023997916666666667,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260916,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9595625000000002,0.9995,22,2.9052333333333333,2.9674895833333332,2.9804525033875775,0.5018861251915596,0.0252375,0.4987372505539634,0.28977929881787134,0.4987466125040658,NaN,0.5100125606241909,0.2822497674876977,0.13101031435598365,0.4994474534050236,0.9020826244748131
