seed,replacement,speed_policy,speed_clearance,steps,burn_in,lookahead,mean_convention_strength,coordinated_fraction,replacement_rate,mean_proposed_speed,successful_progress,speed_one_share,speed_two_share,speed_three_share
20261013,static_entry,lane-first,0.0,5000,1000,20,0.8799291666666668,0.8555,0.03799166666666667,2.9174937499999998,2.827570833333333,0.03288958333333333,0.016727083333333333,0.9503833333333334
20261013,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.2252166666666667,0.00025,0.21382916666666665,2.11874375,1.6950979166666666,0.41027916666666664,0.060697916666666664,0.5290229166666667
20261013,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9614583333333335,0.9995,0.01225,1.986906249999999,1.9652166666666662,0.01309375,0.98690625,0.0
20261013,evolutionary,speed-first,0.0,5000,1000,20,0.8492083333333333,0.80375,0.04041666666666666,2.937077083333333,2.8381020833333332,0.0264125,0.010097916666666666,0.9634895833333333
20261013,evolutionary,lane-first,0.0,5000,1000,20,0.9405166666666668,0.9695,0.02411458333333333,2.943541666666666,2.88638125,0.022504166666666665,0.01145,0.9660458333333334
20261013,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.5067999999999999,0.1175,0.12794375,2.0128375,1.7659479166666667,0.46951458333333335,0.048133333333333334,0.48235208333333335
20261013,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9636958333333335,0.99925,0.011575,1.9873374999999989,1.9669416666666661,0.0126625,0.9873375,0.0
20261014,static_entry,speed-first,0.0,5000,1000,20,0.6827833333333333,0.50075,0.077375,2.8852208333333333,2.697366666666667,0.0479125,0.018954166666666668,0.9331333333333334
20261014,static_entry,lane-first,0.0,5000,1000,20,0.9113750000000002,0.93125,0.031677083333333335,2.9267583333333334,2.8521520833333334,0.02915625,0.014929166666666667,0.9559145833333333
20261014,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.20623750000000002,0.0,0.21475625,2.1217020833333327,1.6957041666666666,0.40856458333333334,0.06116875,0.5302666666666667
20261014,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9606583333333335,0.9995,0.012360416666666667,1.987212499999999,1.9651895833333328,0.0127875,0.9872125,0.0
20261014,evolutionary,speed-first,0.0,5000,1000,20,0.7754000000000001,0.68625,0.044504166666666664,2.9321270833333335,2.8231625,0.02851875,0.010835416666666667,0.9606458333333333
20261014,evolutionary,lane-first,0.0,5000,1000,20,0.9279125000000001,0.95875,0.025329166666666666,2.9413624999999994,2.880979166666666,0.023341666666666667,0.011954166666666667,0.9647041666666667
20261014,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.5320416666666666,0.1355,0.12834166666666666,2.02421875,1.7758458333333333,0.46357916666666665,0.04862291666666667,0.48779791666666666
20261014,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9262708333333335,0.93525,0.0129625,1.9865770833333323,1.9635979166666662,0.013422916666666666,0.9865770833333334,0.0
20261015,static_entry,speed-first,0.0,5000,1000,20,0.6284666666666667,0.47525,0.0837375,2.8758145833333337,2.6739104166666667,0.052110416666666666,0.019964583333333334,0.927925
20261015,static_entry,lane-first,0.0,5000,1000,20,0.8479875,0.848,0.035304166666666664,2.9195541666666665,2.836291666666666,0.032260416666666666,0.015925,0.9518145833333334
20261015,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.24366666666666673,0.00075,0.21482916666666665,2.1232645833333335,1.6975979166666666,0.4073583333333333,0.06201875,0.5306229166666667
20261015,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9592458333333336,0.9995,0.012877083333333334,1.986031249999999,1.9633270833333332,0.01396875,0.98603125,0.0
20261015,evolutionary,speed-first,0.0,5000,1000,20,0.8811000000000001,0.839,0.040808333333333335,2.936997916666667,2.8371583333333334,0.026452083333333334,0.010097916666666666,0.96345
20261015,evolutionary,lane-first,0.0,5000,1000,20,0.9551916666666669,0.9945,0.018847916666666666,2.9551458333333325,2.9102187499999994,0.01776875,0.009316666666666666,0.9729145833333334
20261015,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.5445625,0.12575,0.12494375,2.0096020833333332,1.7670854166666667,0.47130208333333334,0.04779375,0.4809041666666667
20261015,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9613375000000002,0.99925,0.012229166666666666,1.9865229166666656,1.9649437499999998,0.013477083333333334,0.9865229166666667,0.0
20261016,static_entry,speed-first,0.0,5000,1000,20,0.5691583333333333,0.33925,0.09602708333333333,2.859358333333333,2.6276875,0.058922916666666665,0.022795833333333335,0.91828125
20261016,static_entry,lane-first,0.0,5000,1000,20,0.9227708333333332,0.9525,0.032125,2.9251479166666665,2.849237499999999,0.029983333333333334,0.014885416666666667,0.95513125
20261016,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.2634916666666667,0.00175,0.2073125,2.1169333333333333,1.7083270833333333,0.41111458333333334,0.0608375,0.5280479166666666
20261016,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9594125000000001,0.99375,0.011610416666666666,1.9871124999999992,1.966527083333333,0.0128875,0.9871125,0.0
20261016,evolutionary,speed-first,0.0,5000,1000,20,0.9297833333333335,0.95225,0.031539583333333336,2.949710416666667,2.8728624999999997,0.021170833333333333,0.007947916666666667,0.97088125
20261016,evolutionary,lane-first,0.0,5000,1000,20,0.9381583333333333,0.9715,0.023239583333333334,2.946541666666666,2.8911041666666666,0.021214583333333332,0.011029166666666666,0.96775625
20261016,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.7015083333333334,0.24475,0.11355208333333333,2.00509375,1.7873125,0.4750083333333333,0.04488958333333333,0.4801020833333333
20261016,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9634500000000001,0.99975,0.011379166666666666,1.9875624999999988,1.967422916666666,0.0124375,0.9875625,0.0
20261017,static_entry,speed-first,0.0,5000,1000,20,0.6989166666666667,0.51825,0.06981666666666667,2.89300625,2.7237479166666665,0.044866666666666666,0.017260416666666667,0.9378729166666666
